Faculty Employee ID,Faculty Name,Academic Year,College,Title,DOI,Conference Name,"Level
(National/international)
",Year Of Publication,Month Of Publication,ISSN/ISBN,Publisher,Indexing,Total Authors,Faculty Author Position,"Aditya Co-author positions ( if existing )
Emp Id only",,,,,,,
5291,Dr. B. Ramsagar,2025-2026,AUS,Attention-Based LSTM and Advanced Boosting Models for Multivariate Carbon Emission Regression,10.1109/ICCTWC68241.2026.11583035,"International Conference on Computing Theory and Wireless Communications, ICCTWC 2026",International,2026,July,979-833157660-8,Institute of Electrical and Electronics Engineers Inc.,Scopus,6,5,,,,,,,,
5477,Pramod Kumar Irlapati,2025-2026,AUS,Smart Grid Optimization: Implementing AI and Machine Learning for Predictive Energy Load Balancing,https://ieeexplore.ieee.org/document/11076735,2025 Global Conference in Emerging Technology (GINOTECH),International,2025,July,Electronic ISBN:979-8-3315-0776-3                    Print on Demand(PoD) ISBN:979-8-3315-0776-3,IEEE,Scopus,6,4,,,,,,,,
3926,Mr. M.Satyanarayana Raju,2025-2026,AUS,"Improved Response and Dynamic Modeling of a Five
Phase Direct Torque Control for Induction Motor Drive",https://ieeexplore.ieee.org/document/11158783,"2025 International Conference on Computing Technologies & Data Communication (ICCTDC)
",International,2025,September,ISBN:979-8-3315-2798-3,IEEE,Scopus,8,2,,,,,,,,
3926,Mr. M.Satyanarayana Raju,2025-2026,AUS,"3DOF-PID Controllers based DTC of Five Phase
Induction Motor Drive",https://ieeexplore.ieee.org/document/11158150,"2025 International Conference on Computing Technologies & Data Communication (ICCTDC)
",International,2025,September,ISBN:979-8-3315-2798-3,IEEE,Scopus,9,3,,,,,,,,
4301,Dr.M.Ravindra,2025-2026,AUS,Stator Inter Turn Short Circuit Fault and Voltage Unbalances of Three Phase Induction Motor,https://ieeexplore.ieee.org/document/11158722, 2025 International Conference on Computing Technologies & Data Communication (ICCTDC),International,2025,July,979-8-3315-2798-3/25,IEEE,Scopus,8,3,,,,,,,,
1983,Venkata Veeranjaneyulu I,2025-2026,AUS,Multi-Source Hybrid Microgrid Optimization Using HOMER Pro: A Case Study for Campus-Scale Energy Sustainability,https://ieeexplore.ieee.org/document/11213123,11th International Conference on Electrical Energy Systems (ICEES),International,2025,October ,ISBN:979-8-3315-2798-3,IEEE,Scopus,6,3,,,,,,,,
1430,Mr.Mummidi P Subba Raju,2025-2026,AUS,"Optimal Sizing of Renewable Energy Resources Based Isolated Microgrid for Remote Area Kukma, Gujarat",https://ieeexplore.ieee.org/document/11212998,11th International Conference on Electrical Energy Systems (ICEES),International,2025,October ,"Electronic ISSN: 2693-3934
Print on Demand(PoD) ISSN: 2693-3942",IEEE,Scopus,6,3,,,,,,,,
2711,Mr. S. Reddy Ramesh,2025-2026,AUS,Hybrid Machine Learning Framework for Environment-Based Fish Disease Detection in Sustainable Aquaculture Systems,https://ieeexplore.ieee.org/document/11307491,International Conference on Electric Circuits and signaling Technologies ,International,2025,December,ISBN:979-8-3315-5673-0,IEEE,Scopus,6,2,,,,,,,,
97,Dr.K.Manoz kumar Reddy,2025-2026,AUS,Autonomous inspection and maintenance of underground cables via AI powered drones and sensors,https://ieeexplore.ieee.org/document/11434157,"2025 International Conference on advances in computation,communication and information technology (ICAICCIT)
",International,2026,March,979-8-3315-2798-3,IEEE,Scopus,6,5,,,,,,,,
5788,P.SriKavitha,2025-2026,AUS,BWKA Based MPPT of a PV System Under Partial Shading Conditions for Charging the Battery Bank,https://ieeexplore.ieee.org/document/11341459/,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",International,2026,January,Electronic ISBN:979-8-3315-0784-8  Print on Demand(PoD) ISBN:979-8-3315-0785-5,IEEE,Scopus,6,3,,,,,,,,
5788,P.SriKavitha,2025-2026,AUS,Super Twisting Sliding Mode Controllers Based Direct Torque Control of BLDC Motor,https://ieeexplore.ieee.org/document/11341006/,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",International,2026,January,Electronic ISBN:979-8-3315-0784-8  Print on Demand(PoD) ISBN:979-8-3315-0785-5,IEEE,Scopus,6,3,,,,,,,,
1983,Dr. Venkata Veeranjaneyulu I,2025-2026,AUS,Design of PV System with Battery Backup Using Different Hybrid MPPT Techniques,10.1109/ICITEICS64870.2025.11340912,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",International,2026,January,Electronic ISBN:979-8-3315-0784-8  Print on Demand(PoD) ISBN:979-8-3315-0785-5,IEEE,Scopus,6,5,,,,,,,,
4301,Dr.M.Ravindra,2025-2026,AUS,Direct Torque Control of Five Phase Induction Motor Using Batch Normalization Based TSK Fuzzy Controllers,10.1109/ICITEICS64870.2025.11340865,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",International,2026,January,Electronic ISBN:979-8-3315-0784-8  Print on Demand(PoD) ISBN:979-8-3315-0785-5,IEEE,Scopus,6,3,,,,,,,,
4301,Dr.M.Ravindra,2025-2026,AUS,Closed Loop Control for a Switched-Capacitor Configured Non-Isolated High Step-Up DC Converter,https://doi.org/10.1109/ICITEICS64870.2025.11341128,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",International,2026,January,Electronic ISBN:979-8-3315-0784-8  Print on Demand(PoD) ISBN:979-8-3315-0785-5,IEEE,Scopus,6,3,,,,,,,,
4301,Dr.M.Ravindra,2025-2026,AUS,MPPT of PMSG Coupled Wind Power Conversion System with a Switched-Capacitor Based Non-Isolated High Step-Up DC-DC Converter,https://doi.org/10.1109/ICITEICS64870.2025.11341370,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",International,2026,January,Electronic ISBN:979-8-3315-0784-8  Print on Demand(PoD) ISBN:979-8-3315-0785-5,IEEE,Scopus,6,4,,,,,,,,
4301,Dr.M.Ravindra,2025-2026,AUS,Ant Colony Optimization of Energy Storage System for Scheduling a Day Ahead in a Microgrid Supplied by Renewable Energy Sources,https://doi.org/10.1109/ICITEICS64870.2025.11341418,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",International,2026,January,Electronic ISBN:979-8-3315-0784-8  Print on Demand(PoD) ISBN:979-8-3315-0785-5,IEEE,Scopus,6,4,,,,,,,,
4210,Dr.K.Bapayya Naidu,2025-2026,AUS,High Gain DC-DC Cuk Converter with Optimized Control for BLDC Motor-Based EV Propulsion,https://doi.org/10.1007/978-981-96-9716-8_30,International Conference on Power Engineering and Intelligent Systems (PEIS),International,2026,February,"Print ISBN
978-981-96-9715-1

Online ISBN
978-981-96-9716-8",Springer,Scopus,5,1,,,,,,,,
4210,Dr.K.Bapayya Naidu,2025-2026,AUS,Solar-Powered Electric Vehicles: High-Gain SEPIC Converter with Neural Network MPPT,https://doi.org/10.1007/978-981-95-0207-3_30,International Conference on Power Electronics and Renewable Energy Systems,International,2026,February,"Print ISBN
978-981-95-0206-6

Online ISBN
978-981-95-0207-3",Springer,Scopus,6,1,,,,,,,,
5225,Dr.Naladi Ram Babu,2025-2026,AUS,A Hierarchical Multi-Modal Deep Learning Model for Stock Market Movement Prediction,https://ieeexplore.ieee.org/document/11486233,2026 Contemporary Computing Innovations Conference (CCIC),International,2026,April,"Electronic ISBN:979-8-3195-2966-4
Print on Demand(PoD) ISBN:979-8-3195-2967-1",IEEE,Scopus,6,6,,,,,,,,
5225,Dr.Naladi Ram Babu,2025-2026,AUS,Hybrid Deep Learning and Metaheuristic Optimization for Multi-Class Knee Osteoarthritis X-ray Classification,https://ieeexplore.ieee.org/document/11485158,2026 6th International Conference on Expert Clouds and Applications (ICOECA),International,2026,April,"Electronic ISBN:979-8-3315-7451-2
DVD ISBN:979-8-3315-7450-5
Print on Demand(PoD) ISBN:979-8-3315-7452-9",IEEE,Scopus,6,6,,,,,,,,
5225,Dr.Naladi Ram Babu,2025-2026,AUS,A Multi-Label Fake News Detection Framework Using Undersampling and Transformer-Based Deep Learning Models,https://ieeexplore.ieee.org/document/11436731,"2026 5th International Conference on Communication, Computing and Electronics Systems (ICCCES)",International,2026,March,"Electronic ISBN:979-8-3315-5621-1
DVD ISBN:979-8-3315-5620-4
Print on Demand(PoD) ISBN:979-8-3315-5622-8",IEEE,Scopus,6,5,,,,,,,,
5225,Dr.Naladi Ram Babu,2025-2026,AUS,A Climate-Aware Transformer Framework for Crop Yield Prediction using Satellite Imagery & Weather Data,https://ieeexplore.ieee.org/document/11416573,2026 International Conference on Electronics and Renewable Systems (ICEARS),International,2026,March,"Electronic ISBN:979-8-3315-4881-0
DVD ISBN:979-8-3315-4880-3
Print on Demand(PoD) ISBN:979-8-3315-4882-7",IEEE,Scopus,6,6,,,,,,,,
5225,Dr.Naladi Ram Babu,2025-2026,AUS,An Efficient Machine Learning Ensemble Framework for Parkinson's Disease Detection Using Voice Features with Class Balancing,https://ieeexplore.ieee.org/document/11453988,2026 8th International Conference on Intelligent Sustainable Systems (ICISS),International,2026,March,"Electronic ISBN:979-8-3315-5318-0
DVD ISBN:979-8-3315-5317-3
Print on Demand(PoD) ISBN:979-8-3315-5319-7",IEEE,Scopus,6,5,,,,,,,,
6115,Dr.Vijay M,2025-2026,AUS,An Investigation on Motor Imagery EEG Classification Using Random Forest Algorithm,https://link.springer.com/chapter/10.1007/978-981-95-7241-0_7,Innovations in Artificial Intelligence and Computing,International,2026,May,978-981-95-7240-3,Springer,Scopus,3,3,,,,,,,,
1952,K. Rambabu,2025-2026,AUS,"Predictive Fault Detection In Power System Using
Machine Learning",https://ieeexplore.ieee.org/document/11542240,2026 1st International Conference on Artificial Intelligence & Machine Learning in Communication and Power Systems (AIMLCPS),International,2026,June ,Electronic ISBN:979-8-3315-5920-5,IEEE,Scopus,6,6,,,,,,,,
1551,Sana Vani,2025-2026,AUS,Vision Transformers-Based Energy Consumption Forecasting System for Industrial Loads,https://ieeexplore.ieee.org/document/11545388,2026 6th International Conference on Recent Trends in Computer Science and Technology (ICRTCST),International,2026,June ,979-8-3315-9186-1,IEEE,Scopus,6,2,,,,,,,,
7,Dr.A.Ramesh,2025-2026,AUS,Machine Learning Based Short Term Load Forecasting Using APSLDC Operational and Weather Data,https://ieeexplore.ieee.org/document/11544331, 2026 2nd International Conference on Big Data & Machine Learning (ICBDML),International,2026,June ,Electronic ISBN:979-8-3195-3091-2,IEEE,Scopus,3,3,,,,,,,,
4957,Mr.T.Lakshmi Narayana,2025-2026,AUS,Optimal Allocation of Micro PMUs in Distribution Systems Using Catch Fish Optimization Algorithm for Complete Observability,https://doi.org/10.1109/ICITEICS64870.2025.11341443,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",International,2026,January,Electronic ISBN:979-8-3315-0784-8  Print on Demand(PoD) ISBN:979-8-3315-0785-5,IEEE,Scopus,3,3,,,4301,,,,,
4957,Mr.T.Lakshmi Narayana,2025-2026,AUS,MPPT of PV System with a Switched-Capacitor Based Non-Isolated High Gain Step-Up DC-DC Converter,https://doi.org/10.1109/ICITEICS64870.2025.11341545,"2025 IEEE 2nd International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)",International,2026,January,Electronic ISBN:979-8-3315-0784-8  Print on Demand(PoD) ISBN:979-8-3315-0785-5,IEEE,Scopus,6,4,,,,4301,,,,
2039,Dr. B S S Ganesh Pardhu,2025-2026,AUS,Fast Global MPPT Tracking of Partially Shaded PV System using Hybrid Decision Tree-PSO Algorithm,https://doi.org/10.1109/ICIMA68728.2026.11564629,8th International Conference on Inventive Material Science and Applications (ICIMA) 2026,International,2026,June ,"Electronic ISBN:979-8-3315-7814-5
DVD ISBN:979-8-3315-7813-8
Print on Demand(PoD) ISBN:979-8-3315-7815-2",IEEE,Scopus,6,5,,,,,,,,
2039,Dr. B S S Ganesh Pardhu,2025-2026,AUS,Machine Learning Decision Tree based Energy Management in Grid-Connected Wind-Battery System for EV Charging Applications,https://doi.org/10.1109/ICIMA68728.2026.11564633,8th International Conference on Inventive Material Science and Applications (ICIMA) 2026,International,2026,June ,"Electronic ISBN:979-8-3315-7814-5
DVD ISBN:979-8-3315-7813-8
Print on Demand(PoD) ISBN:979-8-3315-7815-2",IEEE,Scopus,6,5,,,,,,,,
2039,Dr. B S S Ganesh Pardhu,2025-2026,AUS,An Efficient Hybrid CNN-LSTM Framework for Network Intrusion Detection Using UNSW Data,https://doi.org/10.1109/I3CTCON68242.2026.11507239,2026 IEEE International Conference for Convergence in Computing Technology (I3CTCON),International,2026,May,"Electronic ISBN:979-8-3315-7656-1
Print on Demand(PoD) ISBN:979-8-3315-7657-8",IEEE,Scopus,6,5,,,,,,4765,,
2039,Dr. B S S Ganesh Pardhu,2025-2026,AUS,A Multi-Scale Deep Learning Framework for Automated Cardiac Arrhythmia Classification Using ECG Signals,https://doi.org/10.1109/ICISS67859.2026.11453879,8th International Conference on Intelligent Sustainable Systems (ICISS),International,2026,March,"Electronic ISBN:979-8-3315-5318-0
DVD ISBN:979-8-3315-5317-3
Print on Demand(PoD) ISBN:979-8-3315-5319-7",IEEE,Scopus,6,5,,,,,,4765,,
1952,K. Rambabu,2025-2026,AUS,"An Enhanced Machine Learning Ensemble
Framework for Malicious URL Detection using
NLP and Undersampling Techniques",https://ieeexplore.ieee.org/document/11436995,"Proceedings of the 5th International Conference on Communication, Computing and Electronics Systems (ICCCES-2026)",International,2026,January,ISBN: 979-8-3315-5621-1,IEEE,Scopus,2,1,,,,,,,,
2347,Dr.N.Rajesh,2025-2026,AUS,An Intelligent Ultrasound System using YOLO Baby for Real-Time Fetal Growth and Anomaly Detection,ieeexplore.ieee.org/document/11459722,"2025 6th International Conference on Smart Electronics and Communication (ICOSEC)24-26 Sept. 2025, DOI: 10.1109/ICOSEC67334.2025",International,2026,April,ISBN Information: Electronic ISBN:979-8-3315-9859-4.  DVD ISBN:979-8-3315-9858-7.   Print on Demand(PoD) ISBN:979-8-3315-9860-0,IEEE,Scopus,6,5,,,,,,,,
5278,K.Sandhya Rani,2025-2026,AUS,Design and Analysis of a Footstep Energy Harvesting System Using Rack and Pinion Mechanism,10.1109/ODICON66687.2026.11470968,"4th Odisha International Conference on Electrical Power Engineering, Communication and Computing Technology (ODICON-2026), organized by Department of Electrical Engineering, Institute of Technical Education & Research, Siksha 'O' Anusandhan Deemed to be University, Bhubaneswar, Odisha, India",International,2026,February,979-8-3315-7088-0/26/$31.00 ©2026 IEEE ,ODICON,Scopus,3,3,,,,,,,,
6014,Dr. K.K.Pavan Kumar,2025-2026,AUS,Digital Twin Framework for Predictive Maintenance of Autonomous Vehicle suspension system ,10.1109/STPEC66316.2025.11490804,"2025 IEEE 4th International Conference on Smart Technologies for Power, Energy and Control (STPEC)",International,2025,December,"Electronic ISBN:979-8-3315-9806-8
Print on Demand(PoD) ISBN:979-8-3315-9807-5",IEEE,Scopus,9,2,,,,,,,,
6014,Dr. K.K.Pavan Kumar,2025-2026,AUS,Smart Thermal Regulation in EV Batteries Using Real-Time Digital Twin Feedback for Enhanced performance,https://doi.org/10.1109/STPEC66316.2025.11490425,"2025 IEEE 4th International Conference on Smart Technologies for Power, Energy and Control (STPEC)",International,2025,December,"Electronic ISBN:979-8-3315-9806-8
Print on Demand(PoD) ISBN:979-8-3315-9807-5",IEEE,Scopus,9,2,,,,,,,,
6087,Dr.P.BalaKrishna,2025-2026,AUS,Fault-Tolerant Cascaded H-Bridge Inverter with Redundant IGBT Switching for Self-Healing Operation ,https://ieeexplore.ieee.org/document/11507438,2026 IEEE International Conference for Convergence in Computing Technology (I3CTCON) ,International,2026,May,"Electronic ISBN:979-8-3315-7656-1
Print on Demand(PoD) ISBN:979-8-3315-7657-8",IEEE,Scopus,6,4,,,,,,,,
5803,Dr. Sirisha Narkedamilli,2025-2026,AUS,Novel Configuration of Multilevel Inverter with Reduced Switch Count for PV Applications,https://ieeexplore.ieee.org/document/11341278/authors#authors,"IEEE  2ND iNTERNATION CONFERENCE ON INFORMATION TECHNOLOGY, ELECTRONICS AND INTELLIGENT COMMUNICATION SYSTEMS (ICITEICS)",International,2025,August,https://doi.org/10.1109/ICITEICS64870.2025.11341278,IEEE,Scopus,8,4,,,,,,,,
6046,Dr.G. Ramudu,2025-2026,AUS,Mission Profile Based Component-Wise Reliability Assessment of Grid-Connected Transformer-Based Nine-Level Multilevel Inverters,https://ieeexplore.ieee.org/document/11255567, 2025 IEEE 5th International Conference on Sustainable Energy and Future Electric Transportation (SEFET),International,2025,December, 10.1109/SEFET65155.2025.11255567,IEEE,Scopus,5,5,,,,,,,,
6046,Dr.G. Ramudu,2025-2026,AUS,ANN Based Sampling Time Selection Criterion for Model Predictive Controlled Multilevel Converter,https://ieeexplore.ieee.org/abstract/document/11183358,2025 IEEE North-East India International Energy Conversion Conference and Exhibition (NE-IECCE),International,2025,October , 10.1109/NE-IECCE64154.2025.11183358,IEEE,Scopus,5,5,,,,,,,,
4447,Dr.N.Bhanu Teja,2025-2026,AUS,Improving Efficiency in Solar Desalination Introducing Innovative Mechanical Methods for Sustainable Generation of Freshwater,https://doi.org/10.1007/978-981-96-7576-0_36,Recent Trends in Manufacturing Engineering,International,2025,October ,978-981-96-7575-3,Springer,Scopus,6,4,,,,,,,,
5285,Dr. Mallireddy Naresh ,2025-2026,AUS,Advancing Materials Design and Optimization for Improved Mechanical Performance in Solar Desalination Systems,https://doi.org/10.1007/978-981-96-7576-0_38,Recent Trends in Manufacturing Engineering: Select Proceedings of ICMech ,International,2025,October ,978-981-96-7575-3,Springer,Scopus,6,1,,,,,,,,
5775,Dr.Md.Ahasan,2025-2026,AUS,Design of wheel chair for physically challenged people using Arduino,https://doi.org/10.1063/5.0342057,INTERNATIONAL CONFERENCE ON SUSTAINABLE MATERIALS AND MANUFACTURING FOR INDUSTRY 5.0 (ICSMMI 2025),International,2026,June ,1551-7616,AIP Publishing,Scopus,5,4,,,,,,,,
5775,Dr.Md.Ahasan,2025-2026,AUS,Engine emission reduction with piston head size variation,https://doi.org/10.1063/5.0341927,"AIP Conference Proceedings (Vol. 3418, 030022)",International,2026,June ,1551-7616,AIP Publishing,Scopus,4,2,,,5776,,,,,
5775,Dr.Md.Ahasan,2025-2026,AUS,Mechanical and Microstructural Evaluation of Stir-Cast Aluminium Metal Matrix Composites,10.1088/1742-6596/3196/1/012050,17th International Conference on Materials Processing and Characterisation,International,2026,March,1742-6596,IOP,Scopus,7,1,,,,4731,5776,,,
5775,Dr.Md.Ahasan,2025-2026,AUS,Examine Surface Quality Analysis of Wire Arc Additive Manufacturing Components with Mechanical Post-Processing Tool,10.1088/1742-6596/3196/1/012037,17th International Conference on Materials Processing and Characterisation,International,2026,April,1742-6596,IOP,Scopus,5,4,,,,,,,,
5229,Dr. D. V. N. Koteswara Rao,2025-2026,AUS,A Flexible UWB Antenna for Breast Cancer Detection Application,https://doi.org/10.1109/ICoEIT63558.2025.11211684,2025 International Conference on Engineering Innovations and Technologies (ICoEIT),International,2025,July,979-8-3315-2595-8,IEEE,Scopus,6,1,,,,,,5577,,
5577,Dr. Ch V Ravi Sankar,2025-2026,AUS,Development of Compact Antenna for Drone Applications,https://doi.org/10.1109/ICoEIT63558.2025.11211863,2025 International Conference on Engineering Innovations and Technologies (ICoEIT),International,2025,July,979-8-3315-2595-8,IEEE,Scopus,7,1,,,,,5611,,5229,
4441,Y.Yamini Devi,2025-2026,AUS,Energy-aware and fault-tolerant LFSR architecture for low-power VLSI applications,https://doi.org/10.1109/ICOSEC67334.2025.11459670,6th International Conference on smart electronics and communication (ICOSEC-2025),International,2025,September,979-8-3315-9859-4,IEEE,Scopus,2,2,,,,,,,,
5143,Dr. G. Suresh,2025-2026,AUS,Fused Multi-Modal Image Enhancement based on Shearlet-Contourlet,https://doi.org/10.1109/iSSSC66652.2025.11387983,"2025 IEEE 3rd International Symposium on Sustainable Energy, Signal Processing and Cybersecurity",International,2025,November,979-8-3315-9524-1,IEEE,Scopus,3,3,,,,,,,,
5143,Dr. G. Suresh,2025-2026,AUS,Monkeypox Skin Lesion Classification Using Hybrid Deep Learning Model,https://doi.org/10.1109/GIEST66547.2025.11387112, 2025 IEEE 2nd International Conference on Green Industrial Electronics and Sustainable Technologies (GIEST),International,2025,October ,979-8-3315-7436-9,IEEE,Scopus,4,4,,,,,,,,
4695,Mr G Usandra Babu,2025-2026,AUS,An Intelligent HMAC-Integrated Optimization System for Reliable Wireless Sensor Networks,https://doi.org/10.1109/I2ITCON65200.2025.11210448,"2025 International Conference on Information, Implementation, and Innovation in Technology (I2ITCON)",International,2025,November,979-8-3315-3482-0,IEEE,Scopus,6,4,,,,,,,,
4695,Mr G Usandra Babu,2025-2026,AUS,Secure Communication Protocol for VANETs using NS2 Simulator,https://doi.org/10.1109/I2ITCON65200.2025.11210581,"2025 International Conference on Information, Implementation, and Innovation in Technology (I2ITCON)",International,2025,July,979-8-3315-3482-0,IEEE,Scopus,6,4,,,,,,,,
4695,Mr G Usandra Babu,2025-2026,AUS,IoT-based Secure Smart Shopping System Applications,https://doi.org/10.1109/ICISC65841.2025.11187608,9th International Conference on Inventive Systems and Control (ICISC-2025),International,2025,October ,979-8-3315-1247-7,IEEE,Scopus,6,6,,,,,,,,
6548,Mr Mudunru Suneel,2025-2026,AUS,Detecting Fetal Brain Abnormalities from Ultrasound Images by Deep Learning Methods,https://doi.org/10.1109/ICIDCA66325.2025.11280372,7th International Conference on Innovative Data Communication Technologies and Application (ICIDCA-2025),International,2025,December,979-8-3315-1414-3,IEEE,Scopus,6,4,,,,,6498,,,
5337,Dr.P.Sunitha,2025-2026,AUS,Flower Segmentation and Classification Using U-Net + ResNeXt Deep Model,https://doi.org/10.1007/978-3-031-78925-0_44,International Conference on Hybrid Intelligent Systems,International,2025,July,978-3-031-78925-0,"Springer, Cham",Scopus,6,2,,,,,,,,
6505,Dr.Ch. Rajasekhar,2025-2026,AUS,FAIR-AX: QoS-Aware Fair Resource Allocation Scheme for IEEE 802.11ax Networks,https://doi.org/10.1109/ICMCSI67283.2026.11412465,2026 7th International Conference on Mobile Computing and Sustainable Informatics (ICMCSI),International,2026,January,979-8-3315-5519-1,IEEE,Scopus,5,3,,,,,,,,
5144,Dr. Venkata Lalitha Narla,2025-2026,AUS,Plant Disease Identification based on LIME-CNN,https://doi.org/10.1109/GIEST66547.2025.11387378,2025 IEEE 2nd International Conference on Green Industrial Electronics and Sustainable Technologies (GIEST),International,2025,October ,979-8-3315-7436-9,IEEE,Scopus,4,4,,,,,,,,
1439,Gangu Rama Naidu,2025-2026,AUS,Advanced AI Systems for Noise Suppression in Wireless Signal Transmission Using Deep Learning,https://doi.org/10.1109/ICAFT66710.2025.11453152,2025 1st International Conference on Advancement in Futuristic Technologies (ICAFT),International,2025,December,979-8-3315-7159-7,IEEE,Scopus,6,5,,,,,,,,
6505,Dr.Ch. Rajasekhar,2025-2026,AUS,Hybrid and Gradient-Boosted Regression Models for Accurate Transistor Drain Current Prediction,https://doi.org/10.1109/IATMSI68868.2026.11465635,2026 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI),International,2026,April,979-8-3315-4970-1,IEEE,Scopus,6,3,,,,,,,,
5604,Dr. Mahesh Kumar Singh,2025-2026,AUS,"Interactive Text Generation Using GPT-2 with Gradio: An Approach to Accessible
NLP Application",https://doi.org/10.1109/ICACT67549.2025.11351387,IEEE International Conference on Advanced Computing Technologies (ICACT),International,2026,January,979-8-3315-9002-4,IEEE,Scopus,4,4,,,,,,,,
5604,Dr. Mahesh Kumar Singh,2025-2026,AUS,From Script to Sound: Building an Effective Text-to-Speech System for Telugu Language,https://doi.org/10.1109/ASIANCON66527.2025.11281221,5th Asian Conference on Innovation in Technology (ASIANCON),International,2025,December,979-8-3503-5699-1,IEEE,Scopus,4,4,,,,,,,,
5604,Dr. Mahesh Kumar Singh,2025-2026,AUS,Detection and Classification of ADHD using Deep Learning,https://doi.org/10.1109/CISES66934.2025.11265013,International Conference on Intelligent and Secure Engineering Solutions (CISES),International,2025,December,979-8-3315-7349-2,IEEE,Scopus,5,4,,,,,,,,
